,name,_runtime,_step,_timestamp,best_epoch,best_val_loss,data/train_size,data/valid_size,dropout,early_stop,early_stop_epoch,early_stop_min_delta,early_stop_patience,epoch,epochs,lejepa_global_mask,lejepa_lambda,lejepa_local_mask,lejepa_n_global_views,lejepa_n_local_views,lr,sigreg_points,sigreg_slices,train/lejepa_loss,train/lejepa_loss_b,train/lejepa_pred_loss,train/lejepa_pred_loss_b,train/lejepa_sigreg_loss,train/lejepa_sigreg_loss_b,training/step,valid/iso/D,valid/iso/N,valid/iso/kappa,valid/iso/mean_abs_corr,valid/iso/radius_mean,valid/iso/radius_mean_ratio,valid/iso/radius_std,valid/iso/radius_std_ratio,valid/iso/sigreg,valid/iso/sphericity,valid/lejepa_loss,valid/lejepa_pred_loss,valid/lejepa_sigreg_loss
17,rural-sweep-18,14998.837410141,14080,1764155115.6756115,113,0.29764480764667195,28000,6000,0.1,True,128.0,0.01,15,128,100,0.7,0.04177974736903856,0.5,3,8,0.001,21,512,0.0012129791990986892,0.21888025104999545,0.0005008181080754314,0.12522000074386597,0.017546422949859076,2.3669819831848145,14080,128,250,14017651.125,0.16619206157823405,10.642285545667011,0.942493026010442,2.563094675540924,3.628322047397982,5.187719861666362,0.1525837481021881,0.3025391275684039,0.10145742756625016,4.914356162150701
13,vital-sweep-14,5563.98731363,6490,1764135834.4798265,44,0.336052010456721,28000,6000,0.3,True,59.0,0.01,15,59,100,0.8,0.01680890676767694,0.3,1,8,0.001,9,512,0.001395391719681876,0.23301884531974792,0.0005419552139937877,0.14455708861351013,0.05131483009883336,5.407347679138184,6490,128,250,20365772767.0,0.3216072196761767,9.513822118441263,0.8425550093405979,3.3511666556199393,4.743918348831451,15.502083778381348,0.04836686917891105,0.33297492439548176,0.10024226984630027,13.946036279201508
5,wild-sweep-6,8995.85902752,14410,1764107465.1817608,116,0.34511499976118404,28000,6000,0.0,True,131.0,0.01,15,131,100,0.95,0.02660195688670557,0.5,2,4,0.001,9,256,0.0013589882925152778,0.2425041496753693,0.0006044581191880363,0.1555555909872055,0.028968167398657117,3.424057722091675,14410,128,250,15307894022.666666,0.23166450361410776,10.384970823923746,0.9197049388376084,3.421925107638041,4.84408415774479,7.862984399000804,0.08414998278021812,0.3435405182341735,0.15120225958526134,7.38143202662468
7,cosmic-sweep-8,14383.608513913,16390,1764123475.4340026,134,0.5430888235569,28000,6000,0.0,True,149.0,0.01,15,149,100,0.7,0.07747573011185557,0.3,3,6,0.001,9,768,0.0021681239860398428,0.4134504199028015,0.00112563893198967,0.28809604048728943,0.014581273257732391,1.906078815460205,16390,128,250,9211551.291666666,0.1502863404651483,9.883914152781168,0.8753307847932114,1.7203436841567357,2.4353220261012907,5.736956814924876,0.17980180432399115,0.5878521228830019,0.2704013449450334,4.3678237696488695
2,chocolate-sweep-3,16317.180023036,16500,1764089229.265736,146,0.7011508221427599,28000,6000,0.0,,,0.01,15,150,100,0.95,0.1265795468818105,0.4,2,8,0.001,13,512,0.0027780458480119704,0.557344913482666,0.0013692326705370631,0.37060877680778503,0.012499096035957336,1.845855712890625,16500,128,250,10647361.916666666,0.13822106830775738,11.21150557200114,0.9929038050468888,2.2946558396021524,3.2483194840479004,3.808644771575928,0.20642521418631077,0.7564782773454984,0.3780800973375638,3.36748997370402
3,prime-sweep-4,4849.246020499,5536,1764094084.2698345,50,1.6249895170331,28000,6000,0.3,,,0.01,15,50,100,0.7,0.026248740481860836,0.3,3,6,0.001,17,256,0.00369812442788056,0.9506429433822632,0.002519391988004957,0.6702996492385864,0.04742564138344356,11.350555419921877,5536,128,250,5937715218.541667,0.4712365046143532,4.263848473628362,0.37761131602000514,1.9502886682748797,2.760832614346871,64.53302963574727,0.01761074325380226,1.6249895170331,0.17317728574077287,55.48296515146891
4,lyric-sweep-5,4371.079634922,4059,1764098462.0552752,36,2.0592832565307617,28000,6000,0.1,,,0.01,15,36,100,0.9,0.1117379154222044,0.4,3,8,0.001,13,256,0.004863675472991807,1.270394802093506,0.002957318161215101,0.78643798828125,0.020018289029598235,5.117615699768066,4059,128,250,3636015322.5,0.27024302755792934,8.464754581451416,0.7496483838620654,2.2920919756094613,3.2446900729535777,16.954212148984272,0.06216589175164699,2.0592832565307617,0.3234854117035866,15.8580322265625
8,super-sweep-9,1261.156348225,1810,1764124742.323168,14,2.567209134499232,28000,6000,0.0,,,0.01,15,16,100,0.7,0.13680391894937646,0.4,3,4,0.001,17,768,0.010869875133037566,2.8193278312683105,0.002652959865118776,0.6335121989250183,0.06271640639645713,16.611238479614258,1810,128,250,46347289780.666664,0.45882001891732216,9.006373087565104,0.79761474057932,5.013557533423106,7.0972022641255945,31.968183120091755,0.023504428875943024,3.1316006580988565,0.7767320548494657,17.990189909934998
0,balmy-sweep-1,1435.726798199,2090,1764071662.188382,4,3.5443456918001175,28000,6000,0.1,True,19.0,0.01,15,19,100,0.95,0.07430402836345548,0.5,1,6,0.001,17,256,0.00674605227793966,1.341519832611084,0.004497913828917912,1.1302554607391355,0.03475385743379593,3.9734976291656494,2090,128,250,522.260612487793,0.5155318429072698,0.01817233037824432,0.0016093624414002233,0.01375624471499274,0.01947336805975633,101.16110801696776,0.012171612198775014,6.070380429426829,0.07283154223114252,80.78916533788045
10,hardy-sweep-11,1913.316015187,1778,1764127924.875038,8,3.5904973347981772,28000,6000,0.3,,,0.01,15,16,100,0.8,0.03559746001345105,0.5,3,8,0.001,21,256,0.004483207046985626,1.150914192199707,0.0031314552979809897,0.8178542852401733,0.04110472003051213,10.174138069152832,1778,128,250,1.0206750830014546,0.00010426753275775506,0.0001142943025721858,1.0122034653624858e-05,8.700516597552148e-05,0.00012316469030933575,101.20310751597088,0.9424905354777972,3.6015418618917465,1.2193308066343889e-05,101.17379824320476
