instance,halo_depth,expansion_ratio_mean,halo_fraction_mean,owned_total
CA-100-0000,0,1.0,0.0,339
CA-100-0000,1,2.7492657817109145,1.7492625368731562,339
CA-100-0000,2,5.395281120943953,4.3952802359882,339
CA-100-0000,4,5.994132743362832,4.994100294985251,339
CA-100-0001,0,1.0,0.0,338
CA-100-0001,1,2.751471597633136,1.7514792899408285,338
CA-100-0001,2,5.443776627218935,4.443786982248521,338
CA-100-0001,4,5.999982248520711,5.0,338
CA-100-0002,0,1.0,0.0,334
CA-100-0002,1,2.982041616766467,1.9820359281437125,334
CA-100-0002,2,5.5598859281437125,4.559880239520958,334
CA-100-0002,4,6.000000598802395,5.0,334
CA-100-0003,0,1.0,0.0,334
CA-100-0003,1,2.4611041916167666,1.4610778443113772,334
CA-100-0003,2,5.1467197604790424,4.1467065868263475,334
CA-100-0003,4,6.000000598802395,5.0,334
CA-100-0004,0,1.0,0.0,338
CA-100-0004,1,2.7662692307692307,1.7662721893491125,338
CA-100-0004,2,5.43787100591716,4.437869822485207,338
CA-100-0004,4,5.999982248520711,5.0,338
CA-100-0005,0,1.0,0.0,337
CA-100-0005,1,2.584565578635015,1.5845697329376855,337
CA-100-0005,2,5.207715133531157,4.207715133531157,337
CA-100-0005,4,5.997064391691395,4.997032640949555,337
CA-100-0006,0,1.0,0.0,338
CA-100-0006,1,2.8432133136094677,1.8431952662721893,338
CA-100-0006,2,5.387564792899408,4.387573964497041,338
CA-100-0006,4,5.999982248520711,5.0,338
CA-100-0007,0,1.0,0.0,336
CA-100-0007,1,2.943471726190476,1.943452380952381,336
CA-100-0007,2,5.505940178571429,4.505952380952381,336
CA-100-0007,4,5.999995238095238,5.0,336
CA-100-0008,0,1.0,0.0,334
CA-100-0008,1,2.559884131736527,1.5598802395209581,334
CA-100-0008,2,5.155680538922156,4.155688622754491,334
CA-100-0008,4,5.999982934131736,5.0,334
CA-100-0009,0,1.0,0.0,338
CA-100-0009,1,2.778118639053255,1.7781065088757397,338
CA-100-0009,2,5.393482840236686,4.393491124260355,338
CA-100-0009,4,5.999982248520711,5.0,338
CA-100-0010,0,1.0,0.0,334
CA-100-0010,1,3.0269452095808385,2.0269461077844313,334
CA-100-0010,2,5.49998622754491,4.5,334
CA-100-0010,4,6.000000598802395,5.0,334
CA-100-0011,0,1.0,0.0,338
CA-100-0011,1,2.8994097633136096,1.8994082840236686,338
CA-100-0011,2,5.505892603550295,4.505917159763314,338
CA-100-0011,4,5.999982248520711,5.0,338
CA-100-0012,0,1.0,0.0,339
CA-100-0012,1,2.7227215339233037,1.7227138643067847,339
CA-100-0012,2,5.336284660766962,4.336283185840708,339
CA-100-0012,4,5.997070796460177,4.997050147492625,339
CA-100-0013,0,1.0,0.0,335
CA-100-0013,1,2.4985,1.498507462686567,335
CA-100-0013,2,4.56118,3.5611940298507463,335
CA-100-0013,4,5.0,4.0,335
CA-100-0014,0,1.0,0.0,339
CA-100-0014,1,2.707989675516224,1.7079646017699115,339
CA-100-0014,2,5.297953687315634,4.297935103244837,339
CA-100-0014,4,5.997062536873156,4.997050147492625,339
CA-100-0015,0,1.0,0.0,332
CA-100-0015,1,2.5752927710843374,1.5753012048192772,332
CA-100-0015,2,5.210849397590361,4.210843373493976,332
CA-100-0015,4,6.000033734939759,5.0,332
